,Fall_Allegheny_1,Fall_Allegheny_2,Fall_Allegheny_3,Fall_Braddock_1,Fall_Braddock_2,Fall_Braddock_3,Fall_Control_1,Fall_Control_2,Fall_Control_3,Fall_Monongahela_1,Fall_Monongahela_2,Fall_Monongahela_3,Fall_Neville_1,Fall_Neville_2,Fall_Neville_3,Fall_Sharpsburg_1,Fall_Sharpsburg_2,Fall_Sharpsburg_3,Fall_Sharpsburg_4,Spring_Braddock_1,Spring_Braddock_2,Spring_Control_1,Spring_Monongahela_1,Spring_Monongahela_2,Spring_Neville_1,Spring_Sharpsburg_1,Summer_Allegheny_1,Summer_Braddock_1,Summer_Braddock_2,Summer_Monongahela_1,Summer_Neville_1,Summer_Neville_2,Summer_Sharpsburg_1,Summer_Sharpsburg_2,Winter_Allegheny_2,Winter_Allegheny_3,Winter_Braddock_1,Winter_Braddock_2,Winter_Braddock_3,Winter_Control_2,Winter_Monongahela_1,Winter_Monongahela_2,Winter_Monongahela_3,Winter_Neville_1,Winter_Neville_2,Winter_Neville_3,Winter_Sharpsburg_1,Winter_Sharpsburg_2,Winter_Sharpsburg_3,
Fall_Allegheny_1,0,0.5804371193120745,0.60536113179449,0.694619777577397,0.6526067592350013,0.6695804195804196,0.8230677764565992,0.9110537432527576,0.8669279966989891,0.685937970490816,0.7094576892847786,0.7121879588839941,0.5731707317073171,0.5132216014897579,0.5433743169398907,0.6175059952038369,0.5945615643140849,0.5909833387781771,0.6305647840531561,0.9856232198562322,0.9813911472448058,0.9964689265536724,0.9799822852081488,0.9864812166904978,0.9758666081614743,0.9682296231375986,0.9448094612352168,0.9340588988476313,0.9440097799511002,0.9368301026225769,0.9233716475095786,0.961626218626841,0.9497360084477297,0.9535104364326376,0.9849038227416606,0.9854488471009626,0.988962472406181,0.9796969696969697,0.9812744550027949,0.9857054070851461,0.980126467931346,0.9807427785419532,0.9770682148040639,0.9826105174942384,0.980531439094975,0.9820438341695273,0.9883120413155749,0.9841973939561963,0.9823758297093156,
Fall_Allegheny_2,0.5804371193120745,0,0.5075584058634905,0.6869891008174387,0.6764287745237418,0.6866344605475041,0.8104,0.9027484143763214,0.8647912885662432,0.71782997022825,0.7188221709006928,0.724803664921466,0.4885231702035513,0.5496688741721854,0.6667843275679493,0.5750599520383692,0.5627403005941978,0.5796509468993687,0.58046875,0.9857826780792108,0.9812067260138477,0.99186295503212,0.9763014763014763,0.9850020830440217,0.9694280078895463,0.9772231645262903,0.9427458033573142,0.9412731970871506,0.9486827661909989,0.9316611210647556,0.939940682155215,0.9710772033705306,0.9461936090225564,0.9507409726570654,0.9769316286826014,0.9800756620428751,0.997338065661047,0.9710507505360972,0.973667100130039,0.9978339350180505,0.9770642201834863,0.973188637089052,0.9683995922528033,0.9772886911730274,0.9733252500757805,0.9750380517503805,0.9950279676817899,0.9804173354735153,0.9764675459012154,
Fall_Allegheny_3,0.60536113179449,0.5075584058634905,0,0.760558583106267,0.7555368657134847,0.7801642451042324,0.8426935659760088,0.915702479338843,0.8906394810009268,0.7804065311562812,0.7832853025936599,0.7839444995044599,0.5272154745838956,0.6085484553533644,0.6465222348916762,0.6057692307692308,0.5965417867435159,0.6119230769230769,0.586435070306038,0.9912150089338893,0.988519885198852,0.9953007518796992,0.982279500604108,0.9901765375854215,0.9767681982447083,0.9767501277465509,0.9528779253636939,0.9572296476306197,0.9591131586524618,0.9540169133192389,0.9545687885010267,0.9690869877785766,0.9508478741705578,0.9568516912402428,0.98861646234676,0.9891734882492739,0.9921104536489151,0.9859101294744859,0.9872589531680441,0.9937106918238994,0.9863996977710616,0.9864910503208375,0.9823168531216168,0.9855851453701442,0.9839794937520026,0.9861647361647362,0.9892833221701273,0.9866484080794249,0.9856329628625644,
Fall_Braddock_1,0.694619777577397,0.6869891008174387,0.760558583106267,0,0.48450195606379776,0.5447127937336815,0.8789071544338968,0.9061293436293436,0.8769551616266945,0.5978260869565217,0.5805596465390279,0.5483542585680352,0.728735632183908,0.7361743656473649,0.7621315867817803,0.6911362748926201,0.7074223245109321,0.7227452171272396,0.7225580655424754,0.9762532981530343,0.9713594941417147,0.9963302752293578,0.971048798252003,0.9752132196162047,0.9648206990467544,0.9667714414009879,0.9339879978177851,0.9266578831796223,0.9276985743380856,0.9198482333412379,0.9197316678232709,0.9538757206918642,0.9414835762453774,0.9427174975562073,0.9729456384323641,0.9761684405367885,0.9912146676852559,0.9667194928684628,0.969414506262744,0.9913738019169329,0.9672544080604534,0.969054441260745,0.9645454545454546,0.9738547968885047,0.9693654266958425,0.970895112575508,0.9896590273896031,0.9808022922636103,0.9727746212121212,
Fall_Braddock_2,0.6526067592350013,0.6764287745237418,0.7555368657134847,0.48450195606379776,0,0.5152456239412762,0.8652453740949316,0.9200081004455245,0.86659336631849,0.6164158686730505,0.5629156010230179,0.5759955131800336,0.7255115961800819,0.7082988695891922,0.7527044025157232,0.7333740085417938,0.676419104776194,0.7114543114543115,0.7200956937799043,0.9749121926743602,0.9688925081433225,0.9971631205673759,0.9694888178913738,0.9725281374803341,0.963857750289911,0.9651340996168583,0.9312145289443814,0.9269949066213922,0.9279144385026739,0.9214501510574018,0.9174747674648723,0.9479416651282998,0.9411324985983929,0.9415174765558397,0.9740451572061617,0.9752892724063542,0.9912049252418645,0.9674465920651069,0.9695961995249406,0.9887554306158958,0.9678725018972932,0.9692992734942583,0.9656610252636743,0.9733580018501388,0.9695465824498083,0.9708078750848608,0.9876175189176795,0.9786685419596812,0.9724055188962207,
Fall_Braddock_3,0.6695804195804196,0.6866344605475041,0.7801642451042324,0.5447127937336815,0.5152456239412762,0,0.8756936736958935,0.9054085155350978,0.871856769261718,0.5800316957210776,0.6369288997026223,0.5697489672704164,0.7089246294544308,0.7273853779429987,0.7721412556053812,0.7195558739255015,0.68671679197995,0.717347234289024,0.7296163069544365,0.9754485363550519,0.9732334047109208,0.9966078697421981,0.9696544465883178,0.9753981613362683,0.9631556133506719,0.972310969116081,0.9325581395348838,0.9278372141808265,0.9326113116726835,0.9194934418815016,0.9229583975346687,0.9589430894308943,0.9500722096141944,0.9453081101329837,0.9734068040249162,0.9750826901874311,0.9911940824233885,0.9676941315945465,0.9715613891167624,0.9943469205593574,0.9709165687426558,0.9703583939638911,0.9647326507394767,0.9733636175924014,0.9684673042129749,0.9699092088197147,0.9923864531373063,0.9825033647375505,0.9752920035938903,
Fall_Control_1,0.8230677764565992,0.8104,0.8426935659760088,0.8789071544338968,0.8652453740949316,0.8756936736958935,0,0.6761978361669243,0.6362394718870932,0.8304473304473304,0.8530655391120507,0.8670842032011135,0.8184217471628398,0.8197109067017083,0.7715317173800929,0.8156792339916218,0.858006718924972,0.8493543758967002,0.809020618556701,0.9938201538655568,0.9924478739123297,0.9954900781719783,0.9896657516550944,0.9928371980089838,0.9874583578287282,0.9867704280155642,0.9747899159663865,0.9690373428410584,0.9720503520375506,0.9702713487629688,0.9709381704700605,0.9782850779510023,0.972972972972973,0.9758174386920981,0.9941822882999354,0.9954073482428115,0.9981487195310089,0.9934912783129394,0.9939305656712795,0.998402981101943,0.9950866304628911,0.9932950191570882,0.9907175112895132,0.9922845314264208,0.9926301243666513,0.993992606284658,0.9961950059453032,0.9949299855142443,0.9928716904276986,
Fall_Control_2,0.9110537432527576,0.9027484143763214,0.915702479338843,0.9061293436293436,0.9200081004455245,0.9054085155350978,0.6761978361669243,0,0.7018505825908157,0.8677274987568374,0.9044967880085653,0.9018242918867019,0.8953087728597933,0.9089486042264545,0.8994565217391304,0.8912184746277727,0.9192238267148014,0.9191070571291406,0.8889461479000258,0.9948885976408912,0.9956918835085301,0.9966909331568498,0.9944209636517329,0.994080604534005,0.9927431059506531,0.9923899629781983,0.973388671875,0.9752964426877471,0.9726589200273411,0.9715981348028826,0.9743960355151765,0.9831702544031311,0.9766105054509415,0.9810680478656904,0.9963159106608335,0.9974522292993631,0.9979536152796725,0.9960485464295794,0.9963360376864695,0.996222028480093,0.9963524130190797,0.9956162970603404,0.9929501084598699,0.995221027479092,0.9955522609340252,0.9962779156327544,0.9974372116863147,0.9973985431841832,0.9939236111111112,
Fall_Control_3,0.8669279966989891,0.8647912885662432,0.8906394810009268,0.8769551616266945,0.86659336631849,0.871856769261718,0.6362394718870932,0.7018505825908157,0,0.8336569579288026,0.8325508607198748,0.845564773452457,0.8703870387038704,0.8608282416836388,0.8696485623003195,0.8716470293306593,0.8785529715762274,0.9001848428835489,0.8625550660792951,0.9939787485242031,0.9927623642943305,0.9974186886938565,0.9904988123515439,0.9930508088402825,0.9893805309734514,0.9837427107262767,0.9683802529579764,0.9625365183021137,0.9660559305689489,0.9613983976693372,0.9636687444345503,0.979757085020243,0.9705630669176792,0.9709667294413057,0.9951793289625916,0.9962182603997839,0.9984143763213531,0.9947560419516643,0.9950686106346484,0.9986046511627907,0.9950079419105968,0.9944926922262233,0.9922754358861179,0.9933435739887353,0.9938612645794966,0.9950749025241125,0.9966301600673968,0.9959462342649883,0.9939505041246562,
Fall_Monongahela_1,0.685937970490816,0.71782997022825,0.7804065311562812,0.5978260869565217,0.6164158686730505,0.5800316957210776,0.8304473304473304,0.8677274987568374,0.8336569579288026,0,0.4707740916271722,0.43672727272727274,0.72893533638145,0.7309941520467836,0.7125693160813309,0.7204097116843702,0.7387538418552668,0.7538325471698113,0.7520098948670377,0.9908544908544908,0.9907289583712052,0.9963583394027676,0.9914651493598862,0.9912349555206698,0.9894133215703573,0.9881812212738017,0.9536617842876165,0.9431646932185145,0.9522277227722772,0.9414758269720102,0.9401265250790781,0.9730745147150908,0.9674624973589689,0.9639312977099237,0.9918518518518519,0.9922937443336355,0.995850622406639,0.9889060092449923,0.9897814362759012,0.998108448928121,0.9892835272504593,0.9891061452513966,0.9894179894179894,0.9919695688926459,0.9914825658770295,0.990085744908896,0.9955801104972376,0.992112676056338,0.9893370421882244,
